PHOTCATID,spec_z,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,distance/arcsec,altspec_z,altdistance/arcsec,altsource,altquality,GOGREENSPECID
1,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
2,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
3,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
4,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
5,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
6,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
7,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
8,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
9,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
10,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
11,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
12,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
13,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
14,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
15,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
16,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
17,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
18,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
19,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
20,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
21,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
22,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
23,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
24,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
25,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
26,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
27,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
28,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
29,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
30,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
31,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
32,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
33,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
34,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
35,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
36,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
37,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
38,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
39,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
40,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
41,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
42,-99.0,0,0,0.0,-98.0,0.0,0,-97,0
